abany,abdefect,abnomore,abhlth,abpoor,abrape,absingle,age,sex,race,hispanic,degree,partyid,relig,relactiv,rincom06,z.age,female,white,black,otherrace,collegeed,protestant,catholic,atheist,z.partyid,z.relactiv,z.rincom06,prochoice,se_prochoice
1,1,1,1,1,1,1,46,1,3,0,1,2,4,0,25,-0.086511495,0,0,0,1,0,0,0,1,-0.170971092,-0.419133599,0.814562746,0.962057214,0.573059215
1,1,1,1,1,1,1,41,2,1,1,1,0,NA,0,19,-0.230091736,1,1,0,0,0,NA,NA,NA,-0.690672303,-0.419133599,0.319255694,0.962057214,0.573059215
0,0,0,0,0,0,0,29,1,1,1,0,3,11,7,NA,-0.574684313,0,1,0,0,0,0,0,0,0.088879513,1.077784214,NA,-1.716551686,0.515365984
0,1,0,1,0,1,1,56,1,1,0,1,4,1,1,11,0.200648986,0,1,0,0,0,1,0,0,0.348730119,-0.205288197,-0.341153708,-0.057374135,0.136837285
1,1,1,1,1,1,1,61,1,1,0,4,0,4,0,21,0.344229227,0,1,0,0,1,0,0,1,-0.690672303,-0.419133599,0.484358045,0.962057214,0.573059215
0,0,0,1,0,0,0,78,2,2,0,1,2,1,0,NA,0.832402045,1,0,1,0,0,1,0,0,-0.170971092,-0.419133599,NA,-1.102688074,0.377283687
1,1,1,1,1,1,1,59,1,1,0,1,1,2,2,NA,0.286797131,0,1,0,0,0,0,1,0,-0.430821698,0.008557205,NA,0.962057214,0.573059215
1,1,1,1,0,1,1,37,1,1,1,2,0,4,0,NA,-0.344955928,0,1,0,0,0,0,0,1,-0.690672303,-0.419133599,NA,0.219128625,0.161146865
1,1,1,1,1,1,1,41,2,1,1,3,1,2,4,20,-0.230091736,1,1,0,0,1,0,1,0,-0.430821698,0.436248009,0.40180687,0.962057214,0.573059215
1,1,1,1,1,1,1,59,2,1,0,3,2,5,0,NA,0.286797131,1,1,0,0,1,0,0,0,-0.170971092,-0.419133599,NA,0.962057214,0.573059215
1,1,0,1,0,1,0,23,2,1,0,1,NA,6,2,12,-0.746980602,1,1,0,0,0,0,0,0,NA,0.008557205,-0.258602533,-0.139170572,0.159109936
1,1,1,1,1,1,1,30,2,1,0,3,2,4,0,11,-0.545968265,1,1,0,0,1,0,0,1,-0.170971092,-0.419133599,-0.341153708,0.962057214,0.573059215
